system,strategy,strategy_name,scenario,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_size_mb,records_processed
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,1,46609.6,9333.4,0,0.0,0,116.6,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,2,49930.6,8604.8,0,0.0,0,130.1,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,3,48905.3,9619.0,0,0.0,0,127.0,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,4,48268.5,9481.7,0,0.0,0,132.6,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,5,50630.2,9208.9,0,0.0,0,149.9,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,6,49500.8,8812.4,0,0.0,0,94.9,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,7,48357.3,10668.3,0,0.0,0,141.7,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,8,50075.0,8292.7,0,0.0,0,91.0,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,9,50235.8,7743.9,0,0.0,0,122.8,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,10,51486.2,8726.8,0,0.0,0,80.5,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,11,49417.2,8205.8,0,0.0,0,126.4,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,12,49702.7,8659.6,0,0.0,0,88.1,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,13,50627.9,9451.1,0,0.0,0,99.1,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,14,46421.5,8043.3,0,0.0,0,94.3,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,15,47799.0,8353.3,0,0.0,0,114.2,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,16,51766.9,7954.9,0,0.0,0,86.5,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,17,47437.8,9116.7,0,0.0,0,80.2,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,18,49124.1,7693.8,0,0.0,0,98.3,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,19,48641.6,7810.7,0,0.0,0,109.9,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,20,49509.9,8839.2,0,0.0,0,141.8,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,21,50704.6,8251.1,0,0.0,0,138.4,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,22,47852.9,8596.1,0,0.0,0,88.9,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,23,47339.6,10415.5,0,0.0,0,135.7,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,24,51336.2,7508.4,0,0.0,0,94.7,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,25,48774.6,9191.7,0,0.0,0,134.6,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,26,50196.9,8277.7,0,0.0,0,123.4,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,27,51204.0,10338.7,0,0.0,0,140.5,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,28,52144.4,8603.1,0,0.0,0,141.7,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,29,51787.8,9022.2,0,0.0,0,103.3,1000000
Flink,F1,Aligned Barriers (Exactly-Once),checkpoint_corruption,30,51824.0,8215.0,0,0.0,0,140.5,1000000
