system,strategy,strategy_name,scenario,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_size_mb,records_processed
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,1,43927.3,12731.9,0,0.0,0,279.6,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,2,44629.6,10845.2,0,0.0,0,289.0,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,3,45405.9,12043.1,0,0.0,0,396.4,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,4,44488.8,10177.4,0,0.0,0,321.1,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,5,43745.1,10390.4,0,0.0,0,446.0,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,6,44873.2,12430.3,0,0.0,0,345.5,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,7,42511.3,11035.0,0,0.0,0,423.6,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,8,43447.7,12992.0,0,0.0,0,336.0,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,9,45034.5,11126.8,0,0.0,0,377.5,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,10,46379.3,13606.9,0,0.0,0,443.5,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,11,43985.8,14087.1,0,0.0,0,376.5,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,12,47256.3,10414.1,0,0.0,0,420.5,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,13,44275.4,13183.4,0,0.0,0,390.9,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,14,45525.0,9831.3,0,0.0,0,247.5,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,15,47449.2,13172.3,0,0.0,0,433.4,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,16,48066.3,12385.7,0,0.0,0,331.1,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,17,47235.8,13470.3,0,0.0,0,423.2,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,18,42940.8,13101.6,0,0.0,0,429.7,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,19,48152.8,13069.5,0,0.0,0,301.6,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,20,44672.0,12927.4,0,0.0,0,351.5,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,21,42643.3,11507.7,0,0.0,0,275.7,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,22,48268.1,13650.9,0,0.0,0,370.1,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,23,45537.3,15238.4,0,0.0,0,270.1,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,24,44099.1,12656.4,0,0.0,0,293.6,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,25,48309.0,12556.3,0,0.0,0,429.3,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,26,44901.1,11746.7,0,0.0,0,332.8,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,27,44083.9,13823.4,0,0.0,0,374.2,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,28,44212.0,12863.9,0,0.0,0,417.5,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,29,45838.0,13615.9,0,0.0,0,341.5,1000000
Flink,F3,Incremental Checkpointing (RocksDB),driver_failure,30,45499.9,14079.4,0,0.0,0,360.7,1000000
