system,strategy,strategy_name,scenario,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_size_mb,records_processed
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,1,52246.8,7885.3,0,0.0,0,415.6,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,2,44591.5,6107.0,0,0.0,0,449.9,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,3,47796.0,6403.1,0,0.0,0,248.4,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,4,48531.5,6100.0,0,0.0,0,376.8,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,5,49419.4,6673.9,0,0.0,0,362.9,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,6,47091.5,6281.1,0,0.0,0,259.2,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,7,47534.3,7422.0,0,0.0,0,380.7,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,8,49443.2,6404.9,0,0.0,0,385.7,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,9,47440.2,8562.0,0,0.0,0,410.8,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,10,46602.3,6657.9,0,0.0,0,306.0,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,11,46372.1,8586.0,0,0.0,0,324.9,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,12,43213.8,6706.4,0,0.0,0,378.1,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,13,46693.3,6706.1,0,0.0,0,279.4,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,14,46534.5,7810.9,0,0.0,0,371.3,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,15,48527.8,6421.9,0,0.0,0,355.3,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,16,50157.7,6565.4,0,0.0,0,386.6,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,17,51888.3,8219.7,0,0.0,0,367.9,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,18,48522.7,7316.0,0,0.0,0,355.7,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,19,47713.1,6798.7,0,0.0,0,448.4,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,20,50131.9,6489.1,0,0.0,0,264.7,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,21,49477.3,6174.6,0,0.0,0,390.5,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,22,47042.9,6868.4,0,0.0,0,415.3,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,23,49763.6,6834.3,0,0.0,0,355.8,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,24,45483.7,7970.9,0,0.0,0,346.7,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,25,51015.9,5924.7,0,0.0,0,298.0,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,26,48908.1,6188.0,0,0.0,0,436.2,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,27,45181.6,6836.0,0,0.0,0,299.4,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,28,47747.2,7800.5,0,0.0,0,449.8,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,29,47452.8,6926.2,0,0.0,0,353.1,1000000
Flink,F3,Incremental Checkpointing (RocksDB),node_failure,30,47193.1,7643.7,0,0.0,0,354.1,1000000
