strategy,strategy_name,scenario,scenario_name,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_write_ms,records_processed
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),1,40940.6,0,0,0.0,0,53.8,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),2,40888.8,0,0,0.0,0,51.2,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),3,40970.3,0,0,0.0,0,84.6,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),4,38504.8,0,0,0.0,0,44.3,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),5,40809.5,0,0,0.0,0,50.9,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),6,41408.6,0,0,0.0,0,65.3,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),7,42381.9,0,0,0.0,0,72.5,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),8,41398.9,0,0,0.0,0,67.2,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),9,41643.4,0,0,0.0,0,80.5,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),10,43559.9,0,0,0.0,0,40.3,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),11,42157.2,0,0,0.0,0,57.0,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),12,38583.6,0,0,0.0,0,47.8,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),13,42772.1,0,0,0.0,0,44.6,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),14,40766.9,0,0,0.0,0,44.8,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),15,42608.2,0,0,0.0,0,80.4,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),16,39196.2,0,0,0.0,0,76.5,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),17,36484.1,0,0,0.0,0,58.9,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),18,40107.6,0,0,0.0,0,67.6,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),19,42395.7,0,0,0.0,0,83.1,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),20,39005.7,0,0,0.0,0,68.9,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),21,41044.8,0,0,0.0,0,51.4,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),22,40671.0,0,0,0.0,0,54.5,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),23,42349.1,0,0,0.0,0,45.1,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),24,41829.8,0,0,0.0,0,53.9,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),25,40071.4,0,0,0.0,0,58.5,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),26,39908.7,0,0,0.0,0,50.5,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),27,40749.8,0,0,0.0,0,72.4,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),28,45404.4,0,0,0.0,0,70.5,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),29,42583.3,0,0,0.0,0,48.2,1000000
A,High-Frequency Checkpointing,baseline,Baseline (No Failure),30,43759.3,0,0,0.0,0,59.0,1000000
