strategy,strategy_name,scenario,scenario_name,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_write_ms,records_processed
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,1,36432.3,3513.3,40626,4.063,0,51.1,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,2,36970.7,3240.6,28322,2.832,0,51.4,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,3,37282.3,3792.1,28823,2.882,0,88.3,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,4,35843.1,4442.6,30373,3.037,0,66.8,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,5,36983.8,3652.5,42757,4.276,0,88.1,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,6,36182.4,3980.5,31130,3.113,0,55.7,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,7,34766.8,3376.6,30058,3.006,0,52.7,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,8,36232.4,3716.1,41784,4.178,0,76.0,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,9,36136.6,3005.7,29603,2.96,1452,71.2,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,10,35832.9,3525.1,41231,4.123,0,73.3,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,11,35128.2,4424.5,33730,3.373,0,73.2,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,12,34348.2,4311.1,25476,2.548,0,60.3,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,13,36933.0,3378.9,26260,2.626,0,70.3,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,14,35505.9,4225.3,36361,3.636,0,79.7,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,15,38759.1,3541.9,35997,3.6,0,73.2,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,16,35742.5,3594.4,42358,4.236,0,55.5,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,17,36567.2,3481.4,22702,2.27,0,70.6,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,18,36458.4,3200.9,40929,4.093,0,75.9,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,19,35062.5,4077.8,24902,2.49,0,84.6,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,20,38364.9,2950.2,38591,3.859,0,80.2,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,21,35665.8,3221.3,33795,3.38,0,46.1,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,22,37440.8,4156.1,33225,3.323,0,55.9,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,23,36312.5,3208.0,39385,3.939,0,61.3,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,24,37690.8,3446.3,25153,2.515,0,62.5,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,25,36289.8,2794.7,27717,2.772,0,64.2,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,26,36371.1,4276.8,37183,3.718,0,56.8,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,27,36764.1,3617.4,24973,2.497,0,47.6,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,28,36624.3,4244.4,28880,2.888,0,43.1,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,29,37039.0,3316.6,38404,3.84,0,41.0,1000000
A,High-Frequency Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,30,37773.8,3301.4,32050,3.205,0,54.9,1000000
