strategy,strategy_name,scenario,scenario_name,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_write_ms,records_processed
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,1,34720.0,4324.6,24683,2.468,0,60.1,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,2,33400.6,6582.7,9973,0.997,0,62.4,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,3,33929.6,5653.6,9996,1.0,0,62.2,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,4,36265.6,4692.3,6011,0.601,0,81.8,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,5,38448.6,5066.7,21973,2.197,0,64.3,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,6,35369.8,6085.3,6172,0.617,0,89.3,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,7,34764.5,6624.7,14100,1.41,0,87.9,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,8,36968.3,5355.9,19368,1.937,0,54.8,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,9,36994.3,5198.8,15843,1.584,0,42.9,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,10,33458.3,4956.7,22054,2.205,0,88.0,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,11,35879.4,5602.5,16900,1.69,0,51.8,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,12,37366.3,6407.3,9924,0.992,0,71.0,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,13,33249.8,5840.8,15455,1.546,0,50.2,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,14,34781.8,4867.3,12915,1.292,0,55.0,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,15,33988.2,6471.0,6450,0.645,0,89.9,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,16,35616.6,5375.2,9263,0.926,0,86.7,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,17,37325.1,4384.2,12390,1.239,0,81.7,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,18,34414.4,4442.8,24744,2.474,0,40.4,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,19,35548.2,4833.2,18267,1.827,0,46.7,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,20,35564.8,5607.0,16064,1.606,0,70.2,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,21,34811.4,4910.8,17684,1.768,0,64.4,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,22,37471.7,4609.1,6845,0.685,0,53.8,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,23,37646.8,5409.3,17742,1.774,0,77.1,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,24,33488.1,5141.7,5193,0.519,710,67.3,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,25,36045.0,4569.6,7961,0.796,0,55.4,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,26,37217.2,4628.0,22214,2.221,0,50.5,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,27,35022.1,5714.1,20602,2.06,0,60.3,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,28,34376.2,5097.9,23597,2.36,0,88.8,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,29,36197.3,4015.7,5495,0.55,0,56.6,1000000
A,High-Frequency Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,30,37518.4,4841.4,22281,2.228,0,53.3,1000000
