strategy,strategy_name,scenario,scenario_name,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_write_ms,records_processed
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,1,39828.4,2310.9,16138,1.614,0,74.2,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,2,39052.8,1892.5,9580,0.958,0,41.6,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,3,36975.1,2564.3,9219,0.922,0,87.1,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,4,38507.5,2151.1,18108,1.811,0,59.8,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,5,39051.8,2164.3,10297,1.03,0,52.3,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,6,36307.0,2249.0,16691,1.669,0,84.9,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,7,36562.0,2468.9,24950,2.495,0,65.5,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,8,37920.1,2392.1,7192,0.719,0,71.4,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,9,37940.3,2026.6,6270,0.627,0,59.1,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,10,39501.7,2330.7,24421,2.442,0,83.0,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,11,40101.4,2375.7,18634,1.863,0,66.8,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,12,37244.6,2781.2,7231,0.723,0,61.7,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,13,33600.3,2560.4,22517,2.252,0,53.2,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,14,36464.3,2339.3,23252,2.325,0,83.5,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,15,36791.3,2762.2,17179,1.718,0,47.6,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,16,37652.2,1955.2,20572,2.057,0,66.5,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,17,38942.0,2341.0,5389,0.539,0,86.5,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,18,39729.0,1936.0,11150,1.115,0,42.9,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,19,40351.5,1818.9,6713,0.671,0,64.3,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,20,40003.9,2560.8,20316,2.032,0,46.4,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,21,35447.5,2400.6,10301,1.03,0,83.6,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,22,36491.1,2439.3,15785,1.579,0,76.5,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,23,37919.8,2595.4,24902,2.49,0,72.5,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,24,35662.0,2481.9,7420,0.742,0,51.2,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,25,36344.9,2691.3,9602,0.96,0,51.0,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,26,39578.9,2528.9,9578,0.958,0,85.3,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,27,37891.2,2248.3,9760,0.976,0,73.4,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,28,37686.5,2501.0,23710,2.371,0,68.6,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,29,34663.9,2432.8,21149,2.115,0,49.5,1000000
A,High-Frequency Checkpointing,node_failure,Executor Node Failure Mid-Batch,30,38918.8,2528.3,13471,1.347,0,63.4,1000000
