strategy,strategy_name,scenario,scenario_name,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_write_ms,records_processed
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),1,47326.5,0,0,0.0,0,2453.6,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),2,53856.7,0,0,0.0,0,2007.3,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),3,50519.6,0,0,0.0,0,2546.7,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),4,46972.1,0,0,0.0,0,1932.3,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),5,50535.7,0,0,0.0,0,1783.3,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),6,53410.6,0,0,0.0,0,2203.3,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),7,51951.9,0,0,0.0,0,2460.8,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),8,47529.3,0,0,0.0,0,2579.3,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),9,53599.3,0,0,0.0,0,2560.4,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),10,50571.4,0,0,0.0,0,2087.8,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),11,50421.1,0,0,0.0,0,1842.9,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),12,50113.0,0,0,0.0,0,2500.3,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),13,51610.3,0,0,0.0,0,1691.0,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),14,52453.1,0,0,0.0,0,1882.0,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),15,48534.6,0,0,0.0,0,1617.4,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),16,54760.0,0,0,0.0,0,2626.8,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),17,47221.2,0,0,0.0,0,1905.5,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),18,52875.6,0,0,0.0,0,2323.5,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),19,56032.4,0,0,0.0,0,1536.3,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),20,52642.3,0,0,0.0,0,1302.9,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),21,51508.1,0,0,0.0,0,1246.5,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),22,50732.8,0,0,0.0,0,1570.9,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),23,52530.3,0,0,0.0,0,1557.8,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),24,48303.4,0,0,0.0,0,1910.3,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),25,54923.2,0,0,0.0,0,1897.6,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),26,54419.6,0,0,0.0,0,1584.4,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),27,48860.1,0,0,0.0,0,2645.6,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),28,53102.7,0,0,0.0,0,2277.5,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),29,51128.6,0,0,0.0,0,1666.6,1000000
B,Interval-Based Checkpointing,baseline,Baseline (No Failure),30,49604.2,0,0,0.0,0,2068.0,1000000
