strategy,strategy_name,scenario,scenario_name,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_write_ms,records_processed
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,1,43521.2,13521.7,139202,13.92,2037,2257.8,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,2,45511.7,12623.6,130433,13.043,0,2671.2,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,3,44260.5,14012.1,117779,11.778,0,2504.6,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,4,46259.4,12848.4,119634,11.963,0,2283.7,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,5,42408.1,15175.6,90501,9.05,0,2653.8,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,6,43221.2,15961.9,129347,12.935,0,2478.5,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,7,45992.6,12863.0,103226,10.323,0,2339.1,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,8,45156.0,13707.7,83764,8.376,0,2581.4,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,9,48000.3,13959.7,112423,11.242,0,2150.6,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,10,46251.8,12830.9,132809,13.281,0,1269.0,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,11,45253.2,12798.9,107787,10.779,0,1996.7,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,12,41648.8,12926.4,91726,9.173,1666,2129.6,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,13,45038.3,17316.9,89620,8.962,0,1581.0,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,14,44783.1,14206.6,141483,14.148,0,2216.4,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,15,45934.4,15359.9,105492,10.549,0,2158.4,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,16,43486.2,14522.5,144671,14.467,0,1777.0,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,17,43375.2,14116.6,123238,12.324,0,2689.0,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,18,43292.8,17987.4,130005,13.001,0,2048.9,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,19,43536.3,11714.3,82245,8.225,0,1945.1,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,20,46102.1,13300.4,141030,14.103,0,1728.5,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,21,43029.5,12414.7,131536,13.154,0,2188.8,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,22,46227.2,12201.8,149226,14.923,0,1663.4,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,23,42417.6,14719.3,135817,13.582,0,1642.7,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,24,44773.0,13065.3,88761,8.876,0,2657.2,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,25,40588.9,13359.0,143509,14.351,0,2437.0,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,26,41306.0,14310.2,136930,13.693,0,1372.8,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,27,45829.5,13808.6,154173,15.417,0,2286.3,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,28,49814.7,13505.6,141479,14.148,0,2386.0,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,29,47183.9,14162.9,114055,11.406,0,2208.5,1000000
B,Interval-Based Checkpointing,checkpoint_corruption,Checkpoint Directory Corruption,30,41688.8,12583.3,152118,15.212,0,1550.7,1000000
