strategy,strategy_name,scenario,scenario_name,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_write_ms,records_processed
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,1,41452.7,19324.6,16922,1.692,0,2363.5,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,2,40277.1,23353.5,10947,1.095,0,1843.2,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,3,42666.2,19806.5,24202,2.42,0,2344.1,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,4,42231.6,18922.4,6623,0.662,0,2028.0,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,5,44326.9,21969.4,18787,1.879,0,1249.0,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,6,42903.5,21837.2,22192,2.219,1056,2585.9,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,7,43881.7,17181.8,18223,1.822,0,1837.7,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,8,40669.2,19262.0,23168,2.317,0,1307.1,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,9,44073.2,21726.1,19979,1.998,0,1632.9,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,10,45293.2,22451.0,18994,1.899,0,1950.7,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,11,42499.7,20159.5,5797,0.58,0,1683.5,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,12,43263.1,21071.2,24238,2.424,0,2062.8,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,13,50281.3,17533.5,18445,1.845,0,1260.3,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,14,43348.0,17688.9,18030,1.803,0,1472.2,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,15,40983.2,18557.5,14834,1.483,0,1721.9,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,16,41872.8,22913.8,22154,2.215,0,2240.5,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,17,42193.2,25185.8,21271,2.127,0,1882.2,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,18,42613.3,21880.8,24403,2.44,0,1971.9,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,19,45995.4,19888.9,15851,1.585,0,1481.4,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,20,41234.7,22898.8,17508,1.751,0,1505.3,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,21,39182.3,18616.9,13762,1.376,0,1382.1,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,22,45790.9,19627.5,9785,0.979,0,2026.3,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,23,42482.0,19816.6,24845,2.485,0,1892.2,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,24,45878.6,22873.3,14967,1.497,0,1963.3,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,25,42744.6,24182.9,24604,2.46,0,2026.9,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,26,40122.6,23385.8,15164,1.516,0,2496.0,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,27,42722.6,23892.9,13298,1.33,0,1961.6,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,28,43919.0,18532.4,10971,1.097,0,2698.4,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,29,42206.5,20204.8,15771,1.577,0,2027.9,1000000
B,Interval-Based Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,30,41279.9,19482.7,11435,1.144,0,2246.2,1000000
