strategy,strategy_name,scenario,scenario_name,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_write_ms,records_processed
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,1,48683.5,8218.1,23160,2.316,0,1763.0,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,2,47561.2,8525.3,16841,1.684,0,2445.9,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,3,46458.0,10201.5,11031,1.103,0,2226.4,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,4,47539.7,7174.4,16318,1.632,0,1261.6,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,5,43434.3,8467.3,6379,0.638,0,2171.3,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,6,48402.2,8827.9,14804,1.48,0,1850.3,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,7,43584.6,10259.2,14194,1.419,0,1429.5,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,8,47407.4,9771.0,18009,1.801,0,2123.9,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,9,49343.6,7964.8,14297,1.43,0,2438.6,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,10,44842.8,8294.9,9909,0.991,0,2601.9,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,11,45922.8,9762.2,20009,2.001,0,2054.8,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,12,45427.5,8008.7,14886,1.489,0,1687.5,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,13,44450.5,8818.8,10167,1.017,0,1619.5,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,14,42925.4,7650.2,16115,1.612,0,1974.9,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,15,46857.6,9401.3,13128,1.313,0,2032.8,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,16,46457.3,9816.9,19236,1.924,0,1872.3,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,17,47980.5,8834.9,13088,1.309,0,1565.0,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,18,45330.2,7976.6,16069,1.607,0,1715.6,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,19,48849.8,8724.8,12036,1.204,0,1880.6,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,20,45814.2,9387.9,19425,1.943,0,1673.3,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,21,46099.2,6444.6,18803,1.88,0,1487.3,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,22,46203.8,7995.7,16791,1.679,0,2340.3,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,23,41708.0,7242.8,21652,2.165,0,1644.4,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,24,45229.1,9361.7,19160,1.916,0,1389.9,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,25,46962.2,8838.8,10842,1.084,0,2616.1,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,26,44151.2,7552.6,7051,0.705,0,1218.4,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,27,45829.8,9798.1,11814,1.181,0,2648.2,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,28,46257.0,10619.6,7281,0.728,0,1298.0,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,29,43696.3,8813.9,18729,1.873,0,1427.6,1000000
B,Interval-Based Checkpointing,node_failure,Executor Node Failure Mid-Batch,30,48150.3,6623.0,6703,0.67,0,1572.3,1000000
