strategy,strategy_name,scenario,scenario_name,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_write_ms,records_processed
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,1,39820.5,7713.9,6699,0.67,744,777.2,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,2,40058.9,9069.6,13862,1.386,0,703.5,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,3,38711.8,9292.6,15246,1.525,0,455.4,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,4,38730.0,7781.0,15538,1.554,0,510.3,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,5,39979.3,8915.4,9088,0.909,0,783.7,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,6,39624.9,8151.6,7399,0.74,0,615.3,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,7,40679.4,9811.3,9602,0.96,0,734.0,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,8,38692.2,9717.9,19840,1.984,0,629.9,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,9,40565.3,9340.4,13585,1.359,0,720.1,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,10,39184.4,9901.2,24323,2.432,0,873.8,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,11,37509.7,9313.6,12237,1.224,0,452.9,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,12,38260.2,9331.2,6572,0.657,0,772.9,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,13,39944.9,10599.1,6527,0.653,0,665.3,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,14,40337.4,10515.8,12021,1.202,0,722.7,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,15,39904.7,9307.1,10119,1.012,0,476.4,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,16,39555.9,8565.3,24025,2.403,0,632.0,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,17,37876.6,8451.3,18622,1.862,0,721.5,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,18,40722.4,8874.9,24419,2.442,0,619.9,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,19,37640.1,9211.8,20926,2.093,0,576.0,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,20,40877.2,9430.2,5752,0.575,0,543.5,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,21,37224.4,6849.4,6805,0.681,0,592.2,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,22,36568.5,7786.8,19778,1.978,2441,725.9,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,23,38853.6,9935.6,8017,0.802,523,805.5,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,24,41542.1,6604.9,6686,0.669,0,419.6,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,25,38426.8,6086.9,15481,1.548,0,581.9,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,26,40696.4,8475.4,20489,2.049,0,426.2,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,27,38689.6,8308.0,11593,1.159,0,593.3,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,28,39491.7,10833.7,24288,2.429,0,475.2,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,29,41275.0,9645.7,23334,2.333,0,728.0,1000000
C,Async WAL Checkpointing,driver_failure,Driver Node Failure During Checkpoint Write,30,39150.2,8514.8,19176,1.918,0,679.5,1000000
