strategy,strategy_name,scenario,scenario_name,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_write_ms,records_processed
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,1,45193.4,3904.8,7893,0.789,0,465.0,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,2,42311.3,4150.1,18221,1.822,0,412.9,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,3,44876.1,3959.2,9758,0.976,0,561.9,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,4,42533.9,4012.5,19834,1.983,0,663.0,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,5,42269.9,3412.5,20560,2.056,0,656.6,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,6,43649.7,4204.7,23908,2.391,0,421.7,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,7,42921.1,3064.7,15429,1.543,0,629.0,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,8,42817.7,3856.7,14579,1.458,0,600.8,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,9,41654.4,3441.2,23194,2.319,0,436.7,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,10,44057.1,4169.5,6313,0.631,0,537.5,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,11,41084.4,3497.0,11503,1.15,0,897.3,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,12,40743.3,3801.9,17108,1.711,0,449.6,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,13,41464.6,3105.3,18018,1.802,0,784.5,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,14,42130.4,3602.6,14031,1.403,0,514.2,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,15,41466.5,4281.5,13319,1.332,0,447.5,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,16,40385.4,4165.9,12486,1.249,0,476.3,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,17,42795.5,3817.2,21635,2.164,0,446.6,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,18,44274.9,4282.4,21235,2.124,0,678.2,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,19,40714.4,3611.2,11592,1.159,0,461.1,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,20,41009.6,4384.4,20005,2.001,0,834.0,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,21,41622.9,2804.2,17008,1.701,0,575.8,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,22,41426.2,3753.4,18134,1.813,0,512.1,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,23,44502.6,4400.3,12351,1.235,0,781.3,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,24,39954.3,3547.9,21903,2.19,0,887.3,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,25,43151.9,3363.5,17853,1.785,0,413.1,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,26,44786.1,3549.5,10348,1.035,0,490.2,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,27,41948.4,3544.7,11796,1.18,0,403.1,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,28,43602.2,3493.9,13015,1.302,0,470.9,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,29,42071.6,3812.2,19922,1.992,0,507.6,1000000
C,Async WAL Checkpointing,node_failure,Executor Node Failure Mid-Batch,30,41150.7,4075.1,12401,1.24,0,760.8,1000000
