strategy,scenario,trial,throughput_mean,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_processed,final_checkpoint_interval_s
Strategy A (1s),baseline,1,50038.7,0,0,0.0,4503472,1
Strategy A (1s),baseline,2,49727.0,0,0,0.0,4475424,1
Strategy A (1s),baseline,3,50182.0,0,0,0.0,4516374,1
Strategy A (1s),baseline,4,50273.1,0,0,0.0,4524574,1
Strategy A (1s),baseline,5,49812.9,0,0,0.0,4483151,1
Strategy A (1s),baseline,6,50543.8,0,0,0.0,4548937,1
Strategy A (1s),baseline,7,49817.3,0,0,0.0,4483552,1
Strategy A (1s),baseline,8,50468.4,0,0,0.0,4542152,1
Strategy A (1s),baseline,9,50245.8,0,0,0.0,4522114,1
Strategy A (1s),baseline,10,50299.9,0,0,0.0,4526987,1
Strategy A (1s),baseline,11,50013.1,0,0,0.0,4501166,1
Strategy A (1s),baseline,12,50393.1,0,0,0.0,4535373,1
Strategy A (1s),baseline,13,50009.7,0,0,0.0,4500868,1
Strategy A (1s),baseline,14,49887.8,0,0,0.0,4489896,1
Strategy A (1s),baseline,15,50202.4,0,0,0.0,4518207,1
Strategy A (1s),baseline,16,49729.7,0,0,0.0,4475662,1
Strategy A (1s),baseline,17,50152.4,0,0,0.0,4513707,1
Strategy A (1s),baseline,18,50018.7,0,0,0.0,4501679,1
Strategy A (1s),baseline,19,50111.6,0,0,0.0,4510039,1
Strategy A (1s),baseline,20,50313.9,0,0,0.0,4528247,1
Strategy A (1s),baseline,21,49757.8,0,0,0.0,4478190,1
Strategy A (1s),baseline,22,50313.8,0,0,0.0,4528235,1
Strategy A (1s),baseline,23,49588.7,0,0,0.0,4462974,1
Strategy A (1s),baseline,24,50117.5,0,0,0.0,4510565,1
Strategy A (1s),baseline,25,49639.7,0,0,0.0,4467563,1
Strategy A (1s),baseline,26,50121.0,0,0,0.0,4510879,1
Strategy A (1s),baseline,27,49704.6,0,0,0.0,4473410,1
Strategy A (1s),baseline,28,49851.2,0,0,0.0,4486600,1
Strategy A (1s),baseline,29,50365.9,0,0,0.0,4532918,1
Strategy A (1s),baseline,30,49779.6,0,0,0.0,4480156,1
Strategy B (30s),baseline,1,50298.3,0,0,0.0,4526838,30
Strategy B (30s),baseline,2,49720.5,0,0,0.0,4474833,30
Strategy B (30s),baseline,3,50022.1,0,0,0.0,4501981,30
Strategy B (30s),baseline,4,49944.7,0,0,0.0,4495017,30
Strategy B (30s),baseline,5,49594.1,0,0,0.0,4463460,30
Strategy B (30s),baseline,6,50124.8,0,0,0.0,4511223,30
Strategy B (30s),baseline,7,50033.9,0,0,0.0,4503045,30
Strategy B (30s),baseline,8,49596.6,0,0,0.0,4463683,30
Strategy B (30s),baseline,9,49300.6,0,0,0.0,4437043,30
Strategy B (30s),baseline,10,49999.8,0,0,0.0,4499971,30
Strategy B (30s),baseline,11,50221.6,0,0,0.0,4519935,30
Strategy B (30s),baseline,12,50059.0,0,0,0.0,4505302,30
Strategy B (30s),baseline,13,49918.7,0,0,0.0,4492672,30
Strategy B (30s),baseline,14,50053.9,0,0,0.0,4504842,30
Strategy B (30s),baseline,15,49407.8,0,0,0.0,4446693,30
Strategy B (30s),baseline,16,49862.0,0,0,0.0,4487569,30
Strategy B (30s),baseline,17,49281.4,0,0,0.0,4435313,30
Strategy B (30s),baseline,18,49954.8,0,0,0.0,4495927,30
Strategy B (30s),baseline,19,50494.8,0,0,0.0,4544524,30
Strategy B (30s),baseline,20,50226.2,0,0,0.0,4520347,30
Strategy B (30s),baseline,21,49907.9,0,0,0.0,4491701,30
Strategy B (30s),baseline,22,49222.7,0,0,0.0,4430032,30
Strategy B (30s),baseline,23,49726.8,0,0,0.0,4475398,30
Strategy B (30s),baseline,24,49901.3,0,0,0.0,4491111,30
Strategy B (30s),baseline,25,50401.8,0,0,0.0,4536150,30
Strategy B (30s),baseline,26,49992.5,0,0,0.0,4499315,30
Strategy B (30s),baseline,27,50321.8,0,0,0.0,4528959,30
Strategy B (30s),baseline,28,50261.2,0,0,0.0,4523495,30
Strategy B (30s),baseline,29,49738.2,0,0,0.0,4476428,30
Strategy B (30s),baseline,30,49664.2,0,0,0.0,4469765,30
Strategy C (10s WAL),baseline,1,50041.6,0,0,0.0,4503732,10
Strategy C (10s WAL),baseline,2,49542.9,0,0,0.0,4458853,10
Strategy C (10s WAL),baseline,3,49757.6,0,0,0.0,4478174,10
Strategy C (10s WAL),baseline,4,49984.9,0,0,0.0,4498627,10
Strategy C (10s WAL),baseline,5,49646.4,0,0,0.0,4468172,10
Strategy C (10s WAL),baseline,6,50409.5,0,0,0.0,4536850,10
Strategy C (10s WAL),baseline,7,49567.6,0,0,0.0,4461072,10
Strategy C (10s WAL),baseline,8,49938.0,0,0,0.0,4494414,10
