strategy,scenario,trials,throughput_mean,throughput_std,recovery_latency_mean_ms,recovery_latency_max_ms,duplicate_rate_mean_pct,duplicate_rate_max_pct
Adaptive (proposed),baseline,30,50009.6,351.3,0,0,0.0,0.0
Adaptive (proposed),checkpoint_corruption,30,46947.4,974.9,10062.1,10995.6,0.0362,0.0449
Adaptive (proposed),driver_failure,30,45793.5,1134.5,12264.5,16365.3,0.0659,0.1082
Adaptive (proposed),node_failure,30,47965.4,946.7,4964.9,5460.4,0.0085,0.011
Strategy A (1s),baseline,30,50049.4,265.0,0,0,0.0,0.0
Strategy A (1s),checkpoint_corruption,30,46823.8,1023.6,5021.0,5492.4,0.1831,0.2407
Strategy A (1s),driver_failure,30,46170.1,1003.2,5060.6,5492.6,0.1882,0.2312
Strategy A (1s),node_failure,30,48143.3,822.6,4998.6,5497.0,0.1769,0.2338
Strategy B (30s),baseline,30,49908.5,332.7,0,0,0.0,0.0
Strategy B (30s),checkpoint_corruption,30,47241.7,1035.7,19490.0,21745.8,2.9606,3.9843
Strategy B (30s),driver_failure,30,46058.0,1479.5,25334.5,27481.1,4.4324,5.5899
Strategy B (30s),node_failure,30,47835.2,961.1,30293.8,32785.7,5.4138,7.3663
Strategy C (10s WAL),baseline,30,49950.5,312.9,0,0,0.0,0.0
Strategy C (10s WAL),checkpoint_corruption,30,47212.0,693.4,10029.9,10985.7,0.2068,0.2611
Strategy C (10s WAL),driver_failure,30,45738.6,1284.2,4993.4,5471.6,0.1017,0.1369
Strategy C (10s WAL),node_failure,30,48103.0,787.9,10063.4,10988.4,0.2175,0.2848
