system,strategy,strategy_name,scenario,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_size_mb,records_processed
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,1,53749.7,4164.3,0,0.0,0,119.0,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,2,49463.5,3529.8,0,0.0,0,134.3,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,3,51029.5,4296.2,0,0.0,0,102.1,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,4,50814.4,4460.0,0,0.0,0,146.0,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,5,52174.8,3968.4,0,0.0,0,125.9,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,6,47530.7,4713.9,0,0.0,0,112.1,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,7,50826.8,4484.7,0,0.0,0,119.3,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,8,50757.0,4702.1,0,0.0,0,142.8,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,9,49855.2,4358.0,0,0.0,0,149.8,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,10,50112.8,4190.1,0,0.0,0,83.3,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,11,53082.5,4539.5,0,0.0,0,135.4,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,12,50339.4,4264.7,0,0.0,0,106.7,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,13,53360.2,4188.6,0,0.0,0,148.0,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,14,51154.3,4155.7,0,0.0,0,130.5,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,15,49955.7,3771.2,0,0.0,0,98.7,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,16,50363.0,4056.9,0,0.0,0,110.4,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,17,46323.9,4470.2,0,0.0,0,141.3,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,18,50770.6,4646.2,0,0.0,0,92.5,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,19,54332.7,3799.1,0,0.0,0,100.9,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,20,49244.5,3801.0,0,0.0,0,90.7,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,21,51155.0,3728.3,0,0.0,0,134.5,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,22,50899.1,4197.6,0,0.0,0,102.7,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,23,55423.5,4306.7,0,0.0,0,141.5,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,24,51785.9,3916.2,0,0.0,0,84.1,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,25,54373.4,3561.3,0,0.0,0,86.0,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,26,50227.2,4212.7,0,0.0,0,133.2,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,27,51065.7,4001.8,0,0.0,0,113.3,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,28,49505.7,4108.2,0,0.0,0,141.1,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,29,49770.7,4321.7,0,0.0,0,117.8,1000000
Flink,F1,Aligned Barriers (Exactly-Once),node_failure,30,50799.4,3947.3,0,0.0,0,101.8,1000000
