system,strategy,strategy_name,scenario,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_size_mb,records_processed
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,1,58904.3,0,0,0.0,0,135.1,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,2,56445.3,0,0,0.0,0,87.6,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,3,61496.4,0,0,0.0,0,95.6,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,4,54784.1,0,0,0.0,0,137.2,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,5,56215.3,0,0,0.0,0,135.7,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,6,58705.6,0,0,0.0,0,95.9,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,7,59754.9,0,0,0.0,0,103.0,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,8,58432.9,0,0,0.0,0,140.5,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,9,60099.9,0,0,0.0,0,124.9,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,10,57798.9,0,0,0.0,0,108.0,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,11,61154.3,0,0,0.0,0,145.7,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,12,57848.5,0,0,0.0,0,88.1,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,13,59679.4,0,0,0.0,0,147.4,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,14,57921.7,0,0,0.0,0,98.6,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,15,60191.0,0,0,0.0,0,131.0,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,16,59813.7,0,0,0.0,0,102.0,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,17,55943.7,0,0,0.0,0,107.0,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,18,56422.2,0,0,0.0,0,120.4,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,19,58088.2,0,0,0.0,0,80.1,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,20,61968.2,0,0,0.0,0,144.8,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,21,54484.8,0,0,0.0,0,131.9,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,22,57284.5,0,0,0.0,0,126.9,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,23,57598.8,0,0,0.0,0,126.5,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,24,58888.7,0,0,0.0,0,103.1,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,25,56379.0,0,0,0.0,0,130.4,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,26,62488.0,0,0,0.0,0,101.0,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,27,57305.0,0,0,0.0,0,108.2,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,28,60490.4,0,0,0.0,0,100.7,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,29,59946.9,0,0,0.0,0,145.8,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",baseline,30,59997.9,0,0,0.0,0,127.4,1000000
