system,strategy,strategy_name,scenario,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_size_mb,records_processed
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,1,50468.1,10509.5,0,0.0,0,104.6,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,2,50723.3,8606.1,0,0.0,0,146.7,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,3,47608.5,11196.5,0,0.0,0,118.2,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,4,49459.5,10040.8,0,0.0,0,95.4,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,5,50167.8,10529.1,0,0.0,0,103.5,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,6,49718.7,9580.1,0,0.0,0,91.6,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,7,49565.7,10539.5,0,0.0,0,123.6,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,8,52694.0,10598.0,0,0.0,0,119.5,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,9,53586.5,10667.6,0,0.0,0,89.5,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,10,49982.6,10511.7,0,0.0,0,106.5,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,11,51077.2,11248.7,0,0.0,0,133.3,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,12,48105.3,11516.2,0,0.0,0,138.2,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,13,50621.7,10826.9,0,0.0,0,81.4,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,14,41907.5,9450.8,0,0.0,0,104.5,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,15,48497.0,9118.9,0,0.0,0,125.6,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,16,50769.7,8152.7,0,0.0,0,94.0,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,17,51824.8,10508.7,0,0.0,0,88.8,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,18,49329.9,9385.2,0,0.0,0,95.3,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,19,49521.5,8922.5,0,0.0,0,91.7,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,20,47925.3,9470.4,0,0.0,0,88.0,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,21,52911.8,8245.1,0,0.0,0,87.6,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,22,52416.2,10570.0,0,0.0,0,127.4,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,23,52660.9,10195.6,0,0.0,0,130.1,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,24,53474.6,11098.9,0,0.0,0,123.9,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,25,53515.3,11402.2,0,0.0,0,139.5,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,26,49777.5,10159.5,0,0.0,0,148.9,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,27,51026.7,9593.6,0,0.0,0,110.0,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,28,48930.1,11247.5,0,0.0,0,103.9,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,29,52907.1,9029.6,0,0.0,0,87.4,1000000
Flink,F2,"Unaligned Barriers (Exactly-Once, Low Latency)",driver_failure,30,53511.2,10115.6,0,0.0,0,138.0,1000000
