system,strategy,strategy_name,scenario,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_size_mb,records_processed
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,1,47782.1,14432.7,0,0.0,0,445.4,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,2,45630.5,13488.7,0,0.0,0,358.8,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,3,45272.2,12224.0,0,0.0,0,250.3,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,4,44814.0,13406.9,0,0.0,0,429.9,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,5,45686.2,17091.6,0,0.0,0,367.5,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,6,44926.5,16188.0,0,0.0,0,370.4,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,7,45184.5,12349.0,0,0.0,0,378.4,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,8,47622.6,12707.4,0,0.0,0,429.7,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,9,45487.7,13470.6,0,0.0,0,332.6,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,10,43959.5,13329.4,0,0.0,0,258.9,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,11,45584.4,16865.0,0,0.0,0,276.9,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,12,47789.4,15860.5,0,0.0,0,444.0,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,13,42697.8,13854.5,0,0.0,0,414.4,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,14,46230.8,17269.7,0,0.0,0,341.2,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,15,47342.7,12173.6,0,0.0,0,311.1,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,16,49621.6,17023.9,0,0.0,0,269.6,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,17,49649.1,13872.1,0,0.0,0,392.1,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,18,50756.1,13999.9,0,0.0,0,409.0,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,19,44380.4,16459.5,0,0.0,0,242.9,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,20,44555.4,14115.9,0,0.0,0,381.3,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,21,45318.2,12744.4,0,0.0,0,412.7,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,22,47122.5,14228.4,0,0.0,0,289.1,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,23,49837.3,14974.8,0,0.0,0,357.9,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,24,47399.6,13954.5,0,0.0,0,253.3,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,25,48027.6,11568.1,0,0.0,0,303.5,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,26,45590.9,14935.8,0,0.0,0,438.7,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,27,45709.1,16126.5,0,0.0,0,260.4,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,28,47062.4,13966.2,0,0.0,0,335.3,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,29,45033.3,12332.2,0,0.0,0,438.7,1000000
Flink,F3,Incremental Checkpointing (RocksDB),checkpoint_corruption,30,43936.2,15684.6,0,0.0,0,272.4,1000000
